title,type,release_year,rating,listed_in,description,similarity_score,source_title
Oh No! It's an Alien Invasion,TV Show,2014,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Nate and his Super Wicked Extreme Emergency Team –  S.W.E.E.T. – take on alien invaders who have captured all the world's grownups.,0.24925573,Alien Xmas
Alien TV,TV Show,2021,TV-Y7,"Kids' TV, TV Comedies","Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",0.24088584,Alien Xmas
The History of Future Folk,Movie,2012,TV-14,"Action & Adventure, Comedies, Independent Movies",An alien ordered to colonize Earth abandons his mission when he hears music for the first time and is determined to save his adopted planet.,0.20657623,Alien Xmas
Hubie Halloween,Movie,2020,PG-13,"Comedies, Horror Movies","Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe.",0.38109893,ADAM SANDLER 100% FRESH
Bedtime Stories,Movie,2008,PG,"Children & Family Movies, Comedies",Skeeter's life is turned upside down when the fantastical stories he makes up to entertain his niece and nephew inexplicably turn into reality.,0.3103892,ADAM SANDLER 100% FRESH
Adam Ruins Everything,TV Show,2018,TV-14,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",0.30817777,ADAM SANDLER 100% FRESH
The Meyerowitz Stories (New and Selected),Movie,2017,TV-MA,"Comedies, Dramas, Independent Movies",Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.,0.24610919,ADAM SANDLER 100% FRESH
Mr. Deeds,Movie,2002,PG-13,"Comedies, Romantic Movies","After inheriting a media empire, humble Longfellow Deeds moves to the Big Apple – where a reporter and a company bigwig are waiting to pounce on him.",0.23984835,ADAM SANDLER 100% FRESH
A Series of Unfortunate Events,TV Show,2019,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",0.23754217,Chicken Little
Hoodwinked Too! Hood vs. Evil,Movie,2011,PG,"Children & Family Movies, Comedies","Fresh off a top-secret training, feisty heroine Little Red teams up with intrepid reporter Wolf to investigate the disappearance of Hansel and Gretel.",0.21918055,Chicken Little
Room for Rent,Movie,2017,TV-MA,"Comedies, Independent Movies","To save his parents’ home, a lottery-squandering 32-year-old man sublets a room to a disarmingly creepy tenant.",0.19269833,Chicken Little
Animal Crackers,Movie,2020,TV-Y7,"Children & Family Movies, Comedies","Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands.",0.18753919,Chicken Little
Joan Rivers: Don't Start with Me,Movie,2012,TV-MA,Stand-Up Comedy,"At 78, Joan Rivers has no interest in slowing down, and no one's immune from her caustic barbs in this stand-up special.",0.18213828,Chicken Little
The Last Czars,TV Show,2019,TV-MA,"Docuseries, TV Dramas","When social upheaval sweeps Russia in the early 20th century, Czar Nicholas II resists change, sparking a revolution and ending a dynasty.",0.286103,Stories by Rabindranath Tagore
Goosebumps,TV Show,1998,TV-G,"Kids' TV, TV Thrillers",R.L. Stine's tales take on a life of their own in a series that combines original stories with adaptations drawn from the popular books.,0.263033,Stories by Rabindranath Tagore
Raya and Sakina,Movie,1984,TV-14,"Comedies, Dramas, International Movies","When robberies and murders targeting women sweep early 20th-century Egypt, the hunt for suspects leads to two shadowy sisters. Based on a true story.",0.2508391,Stories by Rabindranath Tagore
Passion. Panache. Pep,TV Show,2020,TV-G,"International TV Shows, Reality TV","From delicious delicacies to dream destinations, this collection features vibrant stories on cultural trends across food, fashion and travel in India.",0.23071572,Stories by Rabindranath Tagore
Witches: A Century of Murder,TV Show,2015,TV-14,"British TV Shows, Crime TV Shows, Docuseries","Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin.",0.22523235,Stories by Rabindranath Tagore
Two Fathers,TV Show,2013,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.",0.31622088,Who's the One
A Touch of Green,TV Show,2016,TV-MA,"International TV Shows, TV Dramas","Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",0.307015,Who's the One
Life Plan A and B,TV Show,2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",Two parallel life paths begin for a man and woman in love after she is offered a lucrative promotion far away and must choose between love and career.,0.27647,Who's the One
See You in Time,TV Show,2017,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.,0.27329007,Who's the One
Ashes of Love,TV Show,2018,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Hidden away by her mother, the Floral Goddess, the naïve Jinmi is drawn to Xufeng, the Heavenly Emperor's son. Yet forces conspire against them.",0.27264732,Who's the One
My Little Pony Equestria Girls: Forgotten Friendship,Movie,2018,TV-Y,Children & Family Movies,School yearbook editor Sunset Shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.,0.6934428,My Little Pony Equestria Girls: Legend of Everfree
My Little Pony Equestria Girls: Rollercoaster of Friendship,Movie,2018,TV-Y,Children & Family Movies,"Rarity gets a summer job at Equestria Land, making Applejack feel jealous. But when their friends start vanishing, they must work together to find them.",0.6596785,My Little Pony Equestria Girls: Legend of Everfree
My Little Pony Equestria Girls: Friendship Games,Movie,2015,TV-Y,"Children & Family Movies, Comedies","Rainbow Dash, Applejack and friends compete against Crystal Prep Academy and their lead athlete, this world's Twilight Sparkle, in sporting events.",0.6270321,My Little Pony Equestria Girls: Legend of Everfree
My Little Pony: Friendship Is Magic,TV Show,2018,TV-Y,Kids' TV,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",0.6071804,My Little Pony Equestria Girls: Legend of Everfree
Equestria Girls: Tales of Canterlot High,TV Show,2017,TV-Y7,"Kids' TV, TV Comedies","In an alternate universe Equestria, the ponies have become teenage girls who must learn what it means to be human while attending Canterlot High.",0.5872057,My Little Pony Equestria Girls: Legend of Everfree
Freej Al Taibeen,Movie,2018,TV-PG,"Comedies, Dramas, International Movies","Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.",0.3514703,The Chord
Juman,TV Show,2019,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","Despite their estranged families, Juman and Hisham fall in love and get married but their different outlooks on life soon threaten their relationship.",0.3157074,The Chord
No Longer kids,Movie,1979,TV-14,"Comedies, Dramas, International Movies","Hoping to prevent their father from skipping town with his mistress, four rowdy siblings resort to absurd measures to stop him.",0.314919,The Chord
Zinzana,Movie,2015,TV-MA,"Dramas, International Movies, Thrillers","Recovering alcoholic Talal wakes up inside a small-town police station cell, where he's subject to the mind games of a psychotic sadist.",0.26629722,The Chord
The Worthy,Movie,2016,TV-MA,"International Movies, Sci-Fi & Fantasy, Thrillers","In the near future, with civilization a thing of the past, a man puts his family in peril when he reluctantly lets outsiders into his compound.",0.26253313,The Chord
Party Monster: Scratching the Surface,Movie,2018,TV-14,Comedies,"In the probing documentary ""Party Monster,"" DJ Fingablast investigates what became of his childhood hero, DJ Slizzard.",0.41955343,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend
Unbreakable Kimmy Schmidt,TV Show,2019,TV-14,TV Comedies,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",0.36703336,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend
Fred Armisen: Standup For Drummers,Movie,2018,TV-PG,"Music & Musicals, Stand-Up Comedy","For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more.",0.21353775,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend
Portlandia,TV Show,2018,TV-14,TV Comedies,"Fred Armisen and Carrie Brownstein send up the residents of Portland, Ore. Typical targets include artisanal light bulbs and feminist bookstores.",0.18380882,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend
The Mitchells vs. The Machines,Movie,2021,PG,"Children & Family Movies, Comedies",A robot apocalypse put the brakes on their cross-country road trip. Now it’s up to the Mitchells — the world’s weirdest family — to save the human race.,0.14647374,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend
ReMastered: The Two Killings of Sam Cooke,Movie,2019,TV-MA,"Documentaries, Music & Musicals","While Sam Cooke rose to stardom as a soul singer, his outspoken views on civil rights drew attention that may have contributed to his death at age 33.",0.22906242,"Love, Rosie"
Pablo,TV Show,2017,TV-Y,"British TV Shows, Kids' TV","Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.",0.19867645,"Love, Rosie"
Now and Then,Movie,1995,PG-13,Dramas,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.",0.19443691,"Love, Rosie"
The Jaime Maussan Show,TV Show,2010,TV-PG,"Docuseries, International TV Shows, Spanish-Language TV Shows",Mexican journalist and UFO investigator Jaime Maussan travels the world collecting evidence and firsthand accounts of extraterrestrial phenomena.,0.18370922,"Love, Rosie"
Bakugan: Battle Planet,TV Show,2018,TV-PG,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,0.17386496,"Love, Rosie"
Rumble,Movie,2016,TV-MA,"Action & Adventure, Independent Movies","An ex-MMA champion reduced to fixing fights in Mexico must win one last match to save his girlfriend, who's been kidnapped by the mob.",0.2399438,Larceny
El Chema,TV Show,2016,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders.,0.16202933,Larceny
Undercover Law,TV Show,2017,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Female intelligence agents infiltrate the disparate aspects of a Colombian cartel in an attempt to take down the drug lords and their associates.,0.16152674,Larceny
Iron Cowboy: The Story of the 50.50.50,Movie,2018,TV-14,"Documentaries, Sports Movies","A record-setting triathlete dares to complete 50 Ironman races – a 2.4-mile swim, a 112-mile bike ride, and a 26.2-mile run – in 50 days in 50 states.",0.15395083,Larceny
El último testigo,Movie,2012,R,Action & Adventure,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.,0.15156673,Larceny
ARASHI's Diary -Voyage-,TV Show,2019,TV-PG,"Docuseries, International TV Shows","Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.",0.29192597,Marching Orders
Ken Burns Presents: College Behind Bars: A Film by Lynn Novick and Produced by Sarah Botstein,TV Show,2019,TV-MA,Docuseries,"This docuseries follows several incarcerated people as they pursue a college degree through the Bard Prison Initiative, a rigorous education program.",0.21608189,Marching Orders
Challenger,TV Show,2020,TV-14,"Docuseries, Science & Nature TV","Engineers, officials and the crew members' families provide their perspective on the 1986 Space Shuttle Challenger disaster and its aftermath.",0.20594382,Marching Orders
Rock On!!,Movie,2008,TV-14,"Dramas, International Movies, Music & Musicals","Four friends hoped that their rock band would be a hit. After breaking up, the band members reunite and take another shot at fulfilling their dream.",0.20494148,Marching Orders
I Dream Of Dance,Movie,2017,TV-14,"Children & Family Movies, Documentaries",Experience the joy and sacrifice of one of the nation's premier dance companies as its members and instructors prepare for a prestigious competition.,0.20276421,Marching Orders
Manje Bistre,Movie,2017,TV-14,"Comedies, Dramas, International Movies","While prepping for a family wedding, a young man falls for his sister’s friend, who has already been promised to someone else.",0.30320296,Sat Shri Akaal England
Chauthi Koot,Movie,2015,TV-14,"Dramas, Independent Movies, International Movies",Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.,0.28793153,Sat Shri Akaal England
25 Kille,Movie,2016,TV-14,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.",0.28604463,Sat Shri Akaal England
Judge Singh LLB,Movie,2015,TV-PG,"Comedies, Dramas, International Movies","Framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience.",0.26283565,Sat Shri Akaal England
Qismat,Movie,2018,TV-PG,"Dramas, International Movies, Romantic Movies","A young villager moves to Chandigarh and falls for his bubbly neighbor, but their love story is affected by several heartbreaking twists of fate.",0.2555077,Sat Shri Akaal England
Chappaquiddick,Movie,2017,PG-13,Dramas,Senator Ted Kennedy watches his future unravel in the wake of an infamous car crash as family and allies vie to protect his reputation.,0.16568051,A Ghost Story
Williams,Movie,2017,TV-MA,"Documentaries, International Movies, Sports Movies",This inspiring documentary charts the birth of Sir Frank Williams's renowned racing empire – and the near-fatal crash that nearly stalled its future.,0.16123062,A Ghost Story
La Coppia dei Campioni,Movie,2016,TV-MA,"Comedies, International Movies","After winning a shared trip to a soccer match, two colleagues who hold opposite world views find they're stuck traveling together for the duration.",0.15369302,A Ghost Story
Tango,TV Show,2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.,0.15305847,A Ghost Story
Oh My Ghost 4,Movie,2015,TV-MA,"Comedies, Horror Movies, International Movies","Ghosts wreak havoc at the old school, and a student communicates with the spirit while the team reckons with a power struggle.",0.13794838,A Ghost Story
Pororo - The Little Penguin,TV Show,2013,TV-Y7,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",0.25512064,Barney and Friends
Loo Loo Kids: Johny & Friends Musical Adventures,TV Show,2016,TV-Y,Kids' TV,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series.",0.24702865,Barney and Friends
ChuChuTV Bedtime Stories & Moral Stories for Kids (English),Movie,2019,TV-Y,Children & Family Movies,"ChuChu teaches some bullies a lesson, Cussly learns the value of teamwork and ChaCha realizes there’s more to playtime than TV and video games.",0.23592007,Barney and Friends
Be-Be-Bears,TV Show,2018,TV-Y,Kids' TV,"Bear buddies Bucky and Bjorn play games, go on far-out adventures and learn about wondrous new things together.",0.22168958,Barney and Friends
Cupcake & Dino - General Services,TV Show,2019,TV-Y7,"Kids' TV, TV Comedies",An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city.,0.21231602,Barney and Friends
Eastsiders,TV Show,2018,TV-MA,"TV Comedies, TV Dramas",Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.,0.24371615,Santo Cachón
Overnight Republic,Movie,2017,TV-MA,"Comedies, International Movies","A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.",0.22339872,Santo Cachón
Savage Raghda,Movie,2018,TV-MA,"Comedies, International Movies, Romantic Movies","Desperate to support his son, a single father uses his talent with makeup to dress up as a woman to try out for a part in a commercial.",0.2105839,Santo Cachón
"Sí, Mi Amor",Movie,2020,TV-MA,"Comedies, International Movies, Romantic Movies",A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.,0.20451912,Santo Cachón
The Unmarried Wife,Movie,2016,TV-MA,"Dramas, International Movies, Romantic Movies","Tired of her husband's cheating, Anne begins a passionate new relationship – while still wondering if she should give her marriage another chance.",0.20413384,Santo Cachón
The Coldest Game,Movie,2019,TV-MA,"Dramas, International Movies, Thrillers","During 1962’s Cuban missile crisis, a troubled math genius finds himself drafted to play in a U.S.-Soviet chess match – and a deadly game of espionage.",0.23780613,The Game
The Surrounding Game,Movie,2018,TV-14,Documentaries,"Teens in America dedicate themselves to the Asian game of Go, which originated in ancient China, drawing meaningful life lessons along the way.",0.19892928,The Game
Hope: One in a Billion,Movie,2017,TV-14,"Documentaries, International Movies, Sports Movies","The remarkable true story of Gift Ngoepe, the first African to play for Major League Baseball, is recounted in this inspiring documentary.",0.18520069,The Game
Spy Kids 3: Game Over,Movie,2003,PG,"Children & Family Movies, Comedies","Carmen gets caught in a virtual reality game designed by the kids' new nemesis, the Toymaker, and it's up to Juni to save her by beating the game.",0.18436703,The Game
Awake: The Million Dollar Game,TV Show,2019,TV-PG,Reality TV,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize.",0.1832537,The Game
"O-Negative, Love Can’t Be Designed",TV Show,2016,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","Five schoolmates who share a blood type navigate the vagaries of friendship, love and university life.",0.31795695,Hook
Age Gap Love,TV Show,2017,TV-MA,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",0.28779274,Hook
I Need Romance,TV Show,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.",0.25414956,Hook
Dancing Angels,TV Show,2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies","A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school.",0.25197664,Hook
Hormones,TV Show,2015,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","High school students in Bangkok wrestle with issues such as sex, teen pregnancy, drugs, school violence, family turmoil and more in this Thai drama.",0.24011889,Hook
Guna 369,Movie,2019,TV-MA,"Action & Adventure, Dramas, International Movies",A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.,0.28275222,Long Shot
The Birth Reborn,Movie,2018,TV-MA,"Documentaries, International Movies","Featuring experts in their fields and raw and moving footage, this documentary makes a case for increased autonomy in women's choices for childbirth.",0.2824502,Long Shot
American Murder: The Family Next Door,Movie,2020,TV-MA,Documentaries,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.",0.26418445,Long Shot
The Innocence Files,TV Show,2020,TV-MA,"Crime TV Shows, Docuseries","The Innocence Project unravels missteps and deceit in a series of wrongful convictions, exposing the injustice inflicted on victims and the accused.",0.21660283,Long Shot
Inequality for All,Movie,2013,PG,Documentaries,Former U.S. Labor Secretary Robert Reich makes a compelling case about the serious crisis the U.S. faces due to the widening economic gap.,0.21477614,Long Shot
Hating Peter Tatchell,Movie,2020,TV-MA,"Documentaries, International Movies, LGBTQ Movies",This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil.,0.18840626,Funny Boy
Ek Hasina Thi,Movie,2004,TV-MA,"Dramas, International Movies, Thrillers","Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her.",0.1849384,Funny Boy
ROMA,Movie,2018,R,"Dramas, Independent Movies, International Movies","Director Alfonso Cuarón delivers a vivid, emotional portrait of domestic life and social hierarchy set against Mexico's political turmoil of the 1970s.",0.17404073,Funny Boy
Mala Kahich Problem Nahi,Movie,2017,TV-PG,"Dramas, International Movies","With their relationship running on autopilot, a discontent husband and wife must confront their issues while on a trip with the extended family.",0.15880024,Funny Boy
School Daze,Movie,1988,R,"Comedies, Dramas","At a Historically Black College, a student activist and his cousin pledging a fraternity navigate social divides amid parties, protests and conflicts.",0.15598251,Funny Boy
Pet Stars,TV Show,2021,TV-PG,Reality TV,Follow talent management company Pets on Q as they work with the biggest animal influencers on social media in this reality series.,0.27544606,Top Grier
Dad Stop Embarrassing Me - The Afterparty,Movie,2021,TV-14,Comedies,"Jamie Foxx, David Alan Grier and more from the cast of the family comedy discuss the show, humiliating family moments, bad BBQ dishes and sitcom openings.",0.24893121,Top Grier
Diva Brides,TV Show,2017,TV-MA,"British TV Shows, Reality TV","In this reality series, brides-to-be stop at nothing to have their dream weddings despite meager funds, fallouts with friends or even absent grooms.",0.21837097,Top Grier
Bling Empire,TV Show,2021,TV-MA,Reality TV,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",0.20961413,Top Grier
Poms,Movie,2019,PG-13,Comedies,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors.",0.20699519,Top Grier
Merlí,TV Show,2015,TV-MA,"International TV Shows, TV Dramas, Teen TV Shows","An unconventional high school philosophy teacher upsets a few parents and staff, romances others and inspires all his pupils, including his gay son.",0.212675,Servant of the People
AMO,TV Show,2017,TV-MA,"International TV Shows, TV Dramas","Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption.",0.20798913,Servant of the People
Pyaar Tune Kya Kiya,TV Show,2014,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","From teen lovers defying social and religious taboos to a student falling for her teacher, these stories explore joy and heartache in modern romance.",0.20050356,Servant of the People
Brainchild,TV Show,2018,TV-G,Kids' TV,"From germs and emotions to social media and more, it's the science of your world explained in a way that's refreshingly relatable.",0.19884676,Servant of the People
All For Love,TV Show,2020,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.",0.1948686,Servant of the People
Angry Birds,TV Show,2018,TV-Y7,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",0.26829118,Th Eena Meena Deeka Chase Comedy Show
For the Birds,Movie,2018,TV-MA,Documentaries,"A woman with a passion for fowl keeps a menagerie of birds that draws the ire of neighbors, animal rights advocates and even her own family.",0.2418337,Th Eena Meena Deeka Chase Comedy Show
Trotro,TV Show,2004,TV-Y,Kids' TV,"Trotro the donkey may be opinionated, but he's as sweet as can be in this animated series that's full of lessons for children.",0.22265048,Th Eena Meena Deeka Chase Comedy Show
Strawberry Shortcake: Berry Bitty Adventures,TV Show,2015,TV-Y,Kids' TV,"Join Strawberry Shortcake and her berry best friends in the whimsical land of Berry Bitty City, where they learn about teamwork and decision-making.",0.18660022,Th Eena Meena Deeka Chase Comedy Show
Dancing with the Birds,Movie,2019,TV-PG,Documentaries,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate.",0.18267673,Th Eena Meena Deeka Chase Comedy Show
Nate Bargatze: The Greatest Average American,Movie,2021,TV-G,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special.",0.19358572,American Odyssey
The Vanished,Movie,2020,R,Thrillers,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets.",0.18009451,American Odyssey
Uncovered,Movie,2019,TV-MA,"Dramas, International Movies","To solve her sister's murder, a corporate protégé assumes her sibling's investigation into a mining conspiracy that could implicate her own boss.",0.16597627,American Odyssey
Babylon Berlin,TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.,0.16139144,American Odyssey
Shelby American,Movie,2019,TV-MA,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",0.15884843,American Odyssey
Delirium,Movie,2018,R,"Horror Movies, Thrillers",A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.,0.15629917,Easy A
100 Things to do Before High School,Movie,2014,TV-Y,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",0.14698063,Easy A
The Magic School Bus,TV Show,1997,TV-Y,Kids' TV,"Join Ms. Frizzle as the Magic School Bus travels to outer space, under the sea, through an anthill – and even inside the human body!",0.14386697,Easy A
Secrets of Great British Castles,TV Show,2016,TV-PG,"British TV Shows, Docuseries, International TV Shows",Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,0.1387979,Easy A
Almost Love,Movie,2020,TV-MA,"Comedies, Dramas, Independent Movies",A close crew of striving New Yorkers experiences both joy and heartache in their romantic and professional lives.,0.13673992,Easy A
Shonar Pahar,Movie,2018,TV-PG,"Dramas, Independent Movies, International Movies",An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.,0.37159052,Homeland
Kahaani,Movie,2012,TV-14,"International Movies, Music & Musicals, Thrillers","Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.",0.31492418,Homeland
Tope: The Bait,Movie,2016,TV-14,"Dramas, Independent Movies, International Movies","The tales of an eccentric aristocrat, a tightrope walking nomad and a postman-turned-soothsayer unspool in this visual poem of rural life in India.",0.27290905,Homeland
Jalpari: The Desert Mermaid,Movie,2012,TV-14,"Dramas, Independent Movies, International Movies","When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets.",0.26659396,Homeland
Lorai: Play to Live,Movie,2015,TV-14,"Dramas, International Movies, Sports Movies","Under a government initiative, a retired alcoholic soccer player is sent to establish a soccer team in a politically troubled area.",0.2611856,Homeland
